125.000;LEFT;06:37:54;06:37:57	;2.94
125.000;LEFT;06:38:14;06:38:19	;4.68
125.000;LEFT;06:38:24;06:38:30	;5.97
125.000;LEFT;06:38:37;06:38:39	;2.04
125.000;LEFT;06:38:43;06:38:45	;2.06
125.000;LEFT;06:38:50;06:38:53	;3.23
125.000;LEFT;06:38:59;06:39:02	;3.16
125.000;LEFT;06:39:06;06:39:08	;2.14
125.000;LEFT;06:39:23;06:39:26	;3.72
125.000;LEFT;06:39:33;06:39:36	;2.36
125.000;LEFT;06:39:39;06:39:41	;2.42
125.000;LEFT;06:39:47;06:39:49	;2.32
125.000;LEFT;06:40:03;06:40:07	;3.72
125.000;LEFT;06:40:20;06:40:23	;3.28
125.000;LEFT;06:40:28;06:40:34	;5.62
125.000;LEFT;06:40:38;06:40:42	;3.18
125.000;LEFT;06:40:47;06:40:50	;3.44
125.000;LEFT;06:40:58;06:41:00	;2.54
125.000;LEFT;06:41:06;06:41:09	;2.68
125.000;LEFT;06:41:52;06:41:54	;2.04
125.000;LEFT;06:41:59;06:42:04	;4.64
125.000;LEFT;06:42:08;06:42:14	;6.38
125.000;LEFT;06:42:17;06:42:19	;1.94
125.000;LEFT;06:42:23;06:42:26	;2.62
125.000;LEFT;06:42:28;06:42:31	;3.28
125.000;LEFT;06:42:37;06:42:39	;2.36
125.000;LEFT;06:42:53;06:42:56	;2.96
125.000;LEFT;06:43:03;06:43:05	;1.82
125.000;LEFT;06:43:14;06:43:17	;3.60
125.000;LEFT;06:43:22;06:43:25	;3.04
125.000;LEFT;06:43:30;06:43:32	;2.60
125.000;LEFT;06:44:32;06:44:34	;2.58
125.000;LEFT;06:44:42;06:44:47	;4.64
125.000;LEFT;06:44:51;06:44:55	;3.98
125.000;LEFT;06:45:18;06:45:22	;3.98
125.000;LEFT;06:45:30;06:45:32	;2.20
125.000;LEFT;06:45:34;06:45:37	;3.18
125.000;LEFT;06:45:41;06:45:44	;3.40
125.000;LEFT;06:45:47;06:45:51	;3.56
125.000;LEFT;06:46:52;06:46:54	;2.46
125.000;LEFT;06:47:00;06:47:03	;3.24
125.000;LEFT;06:47:04;06:47:07	;2.88
125.000;LEFT;06:47:11;06:47:14	;3.02
125.000;LEFT;06:47:18;06:47:20	;2.70
125.000;LEFT;06:47:22;06:47:25	;2.99
125.000;LEFT;06:47:30;06:47:33	;2.86
125.000;LEFT;06:47:37;06:47:39	;2.36
125.000;LEFT;06:47:54;06:47:58	;3.94
125.000;LEFT;06:48:04;06:48:07	;3.52
125.000;LEFT;06:48:12;06:48:15	;3.18
125.000;LEFT;06:49:06;06:49:09	;3.68
125.000;LEFT;06:49:11;06:49:14	;3.22
125.000;LEFT;06:49:18;06:49:20	;2.08
125.000;LEFT;06:49:25;06:49:27	;2.80
125.000;LEFT;06:50:51;06:50:54	;3.12
125.000;LEFT;06:51:38;06:51:41	;2.48
125.000;LEFT;06:51:43;06:51:46	;2.82
125.000;LEFT;06:51:51;06:51:53	;2.18
125.000;LEFT;06:51:54;06:51:58	;3.58
125.000;LEFT;06:52:02;06:52:05	;3.06
125.000;LEFT;06:53:17;06:53:22	;5.06
125.000;LEFT;06:53:25;06:53:28	;2.88
125.000;LEFT;06:53:42;06:53:46	;4.38
125.000;LEFT;06:53:50;06:53:53	;2.55
125.000;LEFT;06:54:31;06:54:33	;2.50
125.000;LEFT;06:54:37;06:54:39	;1.80
125.000;LEFT;06:55:27;06:55:31	;4.10
125.000;LEFT;06:55:37;06:55:40	;2.96
125.000;LEFT;06:55:42;06:55:46	;3.76
125.000;LEFT;06:55:52;06:55:56	;3.88
125.000;LEFT;06:56:30;06:56:32	;2.48
125.000;LEFT;06:56:39;06:56:42	;2.86
125.000;LEFT;06:56:58;06:57:01	;3.02
125.000;LEFT;06:57:05;06:57:08	;2.38
125.000;LEFT;06:57:12;06:57:15	;2.48
125.000;LEFT;06:57:19;06:57:22	;2.80
125.000;LEFT;06:58:03;06:58:06	;3.52
125.000;LEFT;06:58:13;06:58:17	;4.02
125.000;LEFT;06:58:29;06:58:34	;5.28
125.000;LEFT;06:58:43;06:58:47	;4.08
125.000;LEFT;06:59:59;07:00:01	;1.96
125.000;LEFT;07:00:02;07:00:05	;3.18
125.000;LEFT;07:00:10;07:00:12	;1.88
125.000;LEFT;07:00:17;07:00:20	;3.68
125.000;LEFT;07:00:58;07:01:00	;2.06
125.000;LEFT;07:01:03;07:01:04	;1.14
125.000;RIGHT;06:01:04;06:01:09	;5.13
125.000;RIGHT;06:01:22;06:01:25	;3.73
125.000;RIGHT;06:02:00;06:02:03	;3.61
125.000;RIGHT;06:03:03;06:03:06	;2.93
125.000;RIGHT;06:03:15;06:03:18	;3.41
125.000;RIGHT;06:04:17;06:04:21	;3.78
125.000;RIGHT;06:04:26;06:04:29	;2.99
