124.700;LEFT;06:34:43;06:34:46	;3.08
124.700;LEFT;06:34:51;06:34:52	;1.60
124.700;LEFT;06:35:07;06:35:08	;1.32
124.700;LEFT;06:35:15;06:35:17	;2.07
124.700;LEFT;06:35:17;06:35:21	;4.26
124.700;LEFT;06:35:22;06:35:25	;2.85
124.700;LEFT;06:35:28;06:35:30	;1.94
124.700;LEFT;06:35:33;06:35:36	;2.30
124.700;LEFT;06:35:40;06:35:43	;3.32
124.700;LEFT;06:35:49;06:35:52	;2.70
124.700;LEFT;06:36:03;06:36:06	;3.30
124.700;LEFT;06:36:15;06:36:18	;2.82
124.700;LEFT;06:36:22;06:36:24	;1.88
124.700;LEFT;06:36:28;06:36:30	;2.06
124.700;LEFT;06:36:34;06:36:35	;0.70
124.700;LEFT;06:36:39;06:36:40	;1.54
124.700;LEFT;06:36:44;06:36:47	;2.22
124.700;LEFT;06:36:48;06:36:51	;3.29
124.700;LEFT;06:37:01;06:37:04	;3.51
124.700;LEFT;06:37:08;06:37:11	;3.12
124.700;LEFT;06:37:15;06:37:22	;7.43
124.700;LEFT;06:37:27;06:37:29	;2.51
124.700;LEFT;06:37:32;06:37:35	;2.26
124.700;LEFT;06:37:38;06:37:41	;2.87
124.700;LEFT;06:37:41;06:37:44	;2.86
124.700;LEFT;06:37:47;06:37:49	;1.71
124.700;LEFT;06:37:54;06:37:56	;2.32
124.700;LEFT;06:37:58;06:38:00	;1.78
124.700;LEFT;06:38:03;06:38:05	;2.52
124.700;LEFT;06:38:14;06:38:19	;4.94
124.700;LEFT;06:38:22;06:38:24	;2.25
124.700;LEFT;06:38:36;06:38:38	;2.29
124.700;LEFT;06:38:48;06:38:57	;9.88
124.700;LEFT;06:39:02;06:39:05	;3.54
124.700;LEFT;06:39:09;06:39:11	;2.04
124.700;LEFT;06:39:21;06:39:25	;3.66
124.700;LEFT;06:39:29;06:39:32	;3.46
124.700;LEFT;06:39:49;06:39:52	;3.28
124.700;LEFT;06:39:56;06:40:00	;4.71
124.700;LEFT;06:40:04;06:40:07	;2.70
124.700;LEFT;06:40:13;06:40:15	;2.23
124.700;LEFT;06:40:26;06:40:31	;4.98
124.700;LEFT;06:40:33;06:40:36	;2.66
124.700;LEFT;06:40:39;06:40:41	;1.78
124.700;LEFT;06:40:48;06:40:50	;1.82
124.700;LEFT;06:40:54;06:40:56	;2.10
124.700;LEFT;06:40:57;06:41:01	;3.97
124.700;LEFT;06:41:06;06:41:08	;2.62
124.700;LEFT;06:41:12;06:41:17	;5.82
124.700;LEFT;06:41:21;06:41:25	;3.56
124.700;LEFT;06:41:31;06:41:37	;6.74
